전철역코드,전철역명,전철명명(영문),호선,외부코드,x 좌표,y 좌표
0220,선릉,Seolleung,02호선,220,127.0489425,37.5045028
0221,역삼,Yeoksam,02호선,221,127.0366182,37.5007163
0222,강남,Gangnam,02호선,222,127.0283079,37.4981647
0223,교대,Seoul Nat`l Univ. of Education,02호선,223,127.0138384,37.4928182
0224,서초,Seocho,02호선,224,127.0075808,37.491823
0225,방배,Bangbae,02호선,225,126.9976949,37.4814365
0226,사당,Sadang,02호선,226,126.981409,37.4765228
0227,낙성대,Nakseongdae,02호선,227,126.96341,37.4770652
0228,서울대입구,Seoul Nat`l Univ.,02호선,228,126.9526451,37.4811526
0229,봉천,Bongcheon,02호선,229,126.9414953,37.4825563
0230,신림,Sillim,02호선,230,126.9298034,37.4842176
0231,신대방,Sindaebang,02호선,231,126.9131597,37.4875665
0232,구로디지털단지,Guro Digital Complex,02호선,232,126.9014944,37.4853149
0233,대림,Daerim,02호선,233,126.8949462,37.4933105
0234,신도림,Sindorim,02호선,234,126.8910805,37.5087702
0235,문래,Mullae,02호선,235,126.894763,37.5179215
0236,영등포구청,Yeongdeungpo-gu Office,02호선,236,126.895044,37.524226
0237,당산,Dangsan,02호선,237,126.9027307,37.5349568
0238,합정,Hapjeong,02호선,238,126.9146382,37.5501152
0239,홍대입구,Hongik Univ.,02호선,239,126.9236743,37.5568904
0240,신촌,Sinchon,02호선,240,126.9361192,37.5554418
0241,이대,Ewha Womans Univ.,02호선,241,126.9454989,37.5564825
0242,아현,Ahyeon,02호선,242,126.9557389,37.5571184
0243,충정로,Chungjeongno,02호선,243,126.9644741,37.5598378
0244,용답,Yongdap,02호선,211-1,127.0507293,37.5620049
0245,신답,Sindap,02호선,211-2,127.0468202,37.5699911
0246,신설동,Sinseol-dong,02호선,211-4,127.0250937,37.5747188
0247,도림천,Dorimcheon,02호선,234-1,126.8827026,37.514442
0248,양천구청,Yangcheon-gu Office,02호선,234-2,126.8660652,37.512699
0249,신정네거리,Sinjeongnegeori,02호선,234-3,126.8527877,37.5196427
0250,용두,Yongdu,02호선,211-3,127.0378335,37.5743753
0309,지축,Jichuk,03호선,319,126.9121677,37.649618
0310,구파발,Gupabal,03호선,320,126.9187454,37.6368418
0311,연신내,Yeonsinnae,03호선,321,126.9211621,37.618962
0312,불광,Bulgwang,03호선,322,126.9299858,37.6102073
0313,녹번,Nokbeon,03호선,323,126.9360194,37.6007422
0314,홍제,Hongje,03호선,324,126.9442423,37.5887104
